title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
It's Okay to Not Be Okay,8.7,"Comedy,Drama,Romance",1,16,2020,1 hour 20 minutes,"A story about a man employed in a psychiatric ward and a woman who is a popular writer of children's books. The drama tells the story of Moon Kang Tae, a community health worker at a psychiatric ward who doesn't have time for love, and Go Moon Young, a successful children's book author with antisocial behavior who seems to have never known love. After meeting one another, the two slowly begin to heal each other's emotional wounds.","Kim Soo-hyun,Seo Ye-Ji,Oh Jeong-Se,Park Gyuyoung,Park Jin-Joo,Kim Joo-Heon,Kang Ki-Doong,Jang Young-Nam,Jang Gyu-ri,Kim Chang-wan,Lee Eol,Jeong Jaekwang,Ki-Cheon Kim,Kim Mi-Kyung,Choi Woo-Sung,Kim Soo-In,Kang Ji-Eun,Joon Seo",13,South Korea,Korean
Inside No. 9,8.5,"Comedy,Drama,Horror",7,39,2014– ,30 minutes,"Be invited into some very different No. 9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre. From a grand country house where a game of 'sardines' leads to some chilling revelations in a wardrobe; to a very oddly haunted house; to a blood-soaked actor's dressing room in London's West End; to the flat of an apparently happy primary school teacher who becomes the victim of a good deed; these unpredictable tales feature high comedy and claustrophobic horror by turns.","Reece Shearsmith,Steve Pemberton,Derek Jacobi,Katherine Parkinson,Aimee-Ffion Edwards,Rosie Cavaliero,Denis Lawson,Sheridan Smith,Christopher Whitlow,Alexandra Roach,Peter Kay,Nicola Walker,Monica Dolan,Weruche Opia,Jaygann Ayeh,Jenna Coleman,David Morrissey,Phil Davis",TV-MA,United Kingdom,English
Community,8.5,Comedy,6,110,2009–2015,22 minutes,"A former lawyer attends a community college when it is discovered he faked his Bachelor's degree. In an attempt to get with a student in his Spanish class, he forms a Spanish study group. To his surprise, more people attend the study group and the group of misfits form an unlikely community.","Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",Tous publics,United States,English
Dr. Horrible's Sing-Along Blog,8.5,"Short,Comedy,Musical",1,3,2008,42 minutes,"Dr. Horrible, an aspiring supervillain with his own video blog, is attempting to join the prestigious Evil League of Evil (led by the legendary ""thoroughbred of sin"", Bad Horse), but his plans are usually foiled by the egotistical superhero Captain Hammer. Horrible's life is thrown for a loop when he falls in love with Penny, a beautiful and optimistic advocate for the homeless he meets at the laundromat, a situation which complicates itself even further when Penny begins dating the boorish, oafish Hammer after he apparently saves her life. Faced with the task of impressing the League, can Horrible overcome his own incompetence to ruin the day, kill the hero, and still get the girl?","Neil Patrick Harris,Nathan Fillion,Felicia Day,Simon Helberg,Nick Towne,Jed Whedon,Rob Reinis,Otto Michael Penzato,Richard Partlow,Maurissa Tancharoen,Stacy Shirk,Steve Berg,David Fury,Marti Noxon,Michael Boretz,Lance W. Lanfear,Michael G. Canaan,Jonathan Reilly",TV-PG,United States,English
"Love, Death & Robots",8.5,"Animation,Short,Action",2,26,2019– ,15 minutes,"Love, Death + Robots is a 5-time Emmy winning animation anthology series produced by Blur Studio. Launched in March of 2019 on Netflix, Love, Death + Robots delivers a variety of style and story unlike anything else, spanning the genres of science fiction, fantasy, comedy, horror, and more. Created by Tim Miller with David Fincher as executive producer, the series brings together a global team of directors and animation studios to push and expand the medium. Eighteen shorts in all, Love, Death + Robots has something for everyone.","Scott Whyte,Nolan North,Steven Pacey,Emily O'Brien,Fred Tatasciore,Matthew Yang King,Michelle C. Bonilla,Chris Cox,Ike Amadi,Noshir Dalal,Piotr Michael,Mary Elizabeth Winstead,Samira Wiley,Kevin Michael Richardson,Maurice LaMarche,Josh Brener,Helen Sadler,Stefan Kapicic",18,United States,English
Schitt's Creek,8.5,Comedy,6,80,2015–2020,22 minutes,"When filthy-rich video store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup and rebuild their empire from within the rural city limits of their only remaining asset - Schitt's Creek, an armpit of a town they once bought as a joke.","Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",Tous publics,"Canada,United States",English
Harley Quinn,8.5,"Animation,Action,Adventure",2,27,2019– ,23 minutes,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.","Kaley Cuoco,Lake Bell,Alan Tudyk,Ron Funches,Tony Hale,Matt Oberg,Jason Alexander,Christopher Meloni,Diedrich Bader,J.B. Smoove,Jim Rash,James Adomian,Andrew Daly,Vanessa Marshall,Tisha Campbell,Phil LaMarr,Rahul Kohli,Briana Cuoco",TV-MA,United States,English
John Adams,8.5,"Biography,Drama,History",1,7,2008,1 hour 11 minutes,Adapted from ,"Paul Giamatti,Laura Linney,John Dossett,Stephen Dillane,Sarah Polley,Samuel Barnett,David Morse,Andrew Scott,Danny Huston,Ebon Moss-Bachrach,Steven Hinkle,Madeline Taylor,Mamie Gummer,Kevin Trainor,Tom Wilkinson,Michael Hall D'Addario,Rufus Sewell,Justin Theroux",TV-14,United States,English
Black Books,8.5,Comedy,3,18,2000–2004,25 minutes,"Bernard Black runs his own bookshop even though he doesn't much like people who buy books and hates having customers. Next door to Bernard's shop is the Nifty Gifty gift shop run by Fran, probably Bernard's only friend in the world. When Bernard's accountant goes on the run Bernard employs stress victim, Manny to help in his shop. This leads to a series of surreal adventures around the shop.","Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Tony Bluto,Terry Bird,Jessica Hynes,Rose Keegan,Nina Conti,Mick Walter,Howard Coggins",TV-PG,United Kingdom,English
Mare of Easttown,8.5,"Crime,Drama,Mystery",1,7,2021,1 hour,"A young woman is murdered in a small Pennsylvania town. On the case is Detective Sergeant Mare Sheehan, a highly skilled crime investigator. She has spent all of her life in Easttown and knows everybody in it. However, her life is dark and troubled, due largely to the recent death of her son.","Kate Winslet,Julianne Nicholson,Jean Smart,Angourie Rice,John Douglas Thompson,Joe Tippett,Cameron Mann,Jack Mulhern,Izzy King,Justin Hurtt-Dunkley,Sosie Bacon,David Denman,Neal Huff,James McArdle,Guy Pearce,Ruby Cruz,Enid Graham,Chinasa Ogbuagu",12,United States,English
L'amie prodigieuse,8.6,Drama,2,20,2018– ,1 hour,"When the most important friend in her life seems to disappear without trace, Elena Greco, an elderly woman living in a house crammed with books, switches on her PC and starts writing her own story, and that of Lila. She tells the tale of their friendship, which started at school in the 1950s. Set in a dangerous but fascinating Naples, it is just the start of a story spanning sixty years of life. A tale that attempts to unveil the mystery of Lila, Elena's brilliant friend. Her best friend, and her worst enemy.","Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Valentina Acca,Giovanni Amura,Antonio Buonanno,Gennaro De Stefano,Francesco Serpico,Elvis Esposito,Luca Gallone,Fabrizio Cottone,Ulrike Migliaresi,Chiara Di Costanzo,Pina Di Gennaro,Sarah Falanga,Anna Cerchia",10,"Italy,United States","Italian,Neapolitan"
Bir Baskadir,8.5,"Drama,Thriller",1,8,2020– ,49 minutes,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.","Öykü Karayel,Fatih Artman,Funda Eryigit,Defne Kayalar,Settar Tanriögen,Tülin Özen,Bige Önal,Göktug Yildirim,Neil Vanides,Gokhan Yikilkan,Alican Yücesoy,Nesrin Cavadzade,Cemre Zisan Sagbir,Esme Madra,Derya Karadas,Aziz Çapkurt,Incinur Sevimli,Özge Özel",16,Turkey,"Turkish,Arabic,Kurdish"
Erased,8.5,"Animation,Drama,Fantasy",1,13,2016,4 hours 24 minutes,"Struggling manga author Satoru Fujinuma is beset by his fear to express himself. However, he has a supernatural ability of being able to prevent deaths and casualties by being sent back in time before an incident occurrs, repeating time until it is prevented. One day, he is involved with an incident with his mother. Desperate to prevent the incident, he gets sent back in time only to find himself as a grade-schooler. Satoru brings himself to a new journey; using his abilty to prevent the past from changing into a deplorable future.","Tao Tsuchiya,Ben Diskin,Michelle Ruff,Shinnosuke Mitsushima,Minami Takayama,Stephanie Sheh,Sara Cravens,David W. Collins,Mitsuru Miyamoto,Christine Marie Cabanos,Aoi Yûki,Ayaka Nanase,Erica Mendez,Ryan Bartley,Akari Kitô,You Taichi,Bobby Thong,Yukitoshi Kikuchi",13,Japan,Japanese
The Defiant Ones,8.5,"Documentary,Biography,Crime",1,4,2017,1 hour,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Stevie Nicks,Bono,Tom Petty,Dr. Dre,Jimmy Iovine,Janet Mormile,Ice Cube,Snoop Dogg,Bruce Springsteen,Gwen Stefani,Trent Reznor,Sean 'Diddy' Combs,Nas,DJ Yella,Vicki Iovine,The D.O.C.,Doug Morris,Verna Griffin",16,United States,English
The Knick,8.5,"Drama,History",2,21,2014–2015,58 minutes,"A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century. Every day they must deal with lack of funding, personal conflicts, egotism, racial tensions, personal vices, drug addiction, affairs, closed minds, dated nigh-medieval medical techniques and them and their experimental new techniques being misunderstood by most, in order to keep the hospital going and give the ill the help they need. The pressure is enormous and leaves its mark on the souls of most of them.","André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin",16,United States,"English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish"
Your Lie in April,8.6,"Animation,Drama,Music",1,23,2014–2015,23 minutes,"The story follows Arima Kousei, a skilled pianist. However, he hasn't played since he played for his mother who died a few years ago. One day Arima meets a brilliant violinist at the park. After their meeting she tries to guide Arima back into the world of music.","Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Christina McBride,Jennifer Alyx,Ryan Raydarke,Megan Crockett,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley",Tous publics,Japan,Japanese
Spartacus: le sang des gladiateurs,8.5,"Action,Adventure,Biography",3,34,2010–2013,55 minutes,"The inspiration behind this series is the Thracian Gladiator Spartacus, who led a slave uprising against the Roman Republic. The Thracians had been persuaded by Claudius Glaber to serve as auxiliaries in the Roman legions in a campaign against the Getae, who had often plundered Thracian lands. However after Glaber reneges on the deal and switches his attentions from the Getae to attack Mithridates in Asia Minor, the Thracians feel betrayed and mutiny. Captured by Glaber, Spartacus is condemned to death as a Gladiator, whilst his wife Sura is condemned to slavery. Spartacus, however, proves to be a formidable gladiator, and defeats the four gladiators tasked with executing him. He becomes a favorite of the crowd, leading Senator Albinius to commute his death sentence to a life of slavery. Spartacus is purchased by Batiatus for gladiator training, who promises to help him find Sura if he proves himself in training. As the series develops, the story follows the betrayals and machinations of Roman life and a tale of one man's heroic quest for vengeance.","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker",16,United States,"English,German"
I'm Alan Partridge,8.5,Comedy,2,12,1997–2002,29 minutes,"Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career.","Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Steve Brody",TV-MA,United Kingdom,"English,German,French"
